batch_size,epochs_trained,f1_cuisine,f1_dietaryRestriction,f1_duration,f1_easyKeyWord,f1_filterType,f1_ingredient,f1_mealType,f1_recipe,final_training_loss,intent_accuracy,intent_macro_f1,intent_weighted_f1,learning_rate,max_length,merged_macro_f1,merged_weighted_f1,num_epochs,slot_accuracy,slot_macro_f1,slot_weighted_f1,training_time_seconds
64,5,0.8628428927680798,0.6709090909090909,0.7602836879432624,0.1471861471861472,0.0,0.8599033816425121,0.3424124513618677,0.944954128440367,0.14076225353138788,0.9386529386529386,0.9180300411303176,0.9380175345865648,5e-05,48,0.5735614725314159,0.6988842467085139,5,0.991500429000429,0.5226369924388728,0.9902105936323895,50.28196382522583
8,7,0.9399477806788512,0.9028571428571428,0.8081632653061225,0.703125,0.6256410256410256,0.9270298047276464,0.7550432276657061,0.9369527145359019,0.09511106849407223,0.93993993993994,0.9161027629617681,0.9395429503730353,1e-05,32,0.8248449951765495,0.8637171314440645,7,0.9921305233805234,0.7663417576358181,0.9918020693733521,124.02719163894653
8,7,0.9226804123711341,0.8403001071811361,0.7950819672131147,0.5866666666666667,0.6483516483516484,0.9183673469387755,0.6369426751592356,0.9320036264732547,0.09128491648838971,0.9326469326469327,0.9091599204613944,0.9322566167590205,1e-05,48,0.7850493062943708,0.8302549247511626,7,0.9941727441727441,0.7019650255121272,0.9938183063064497,142.0848410129547
8,7,0.9591836734693877,0.9144811858608894,0.8772845953002611,0.7786666666666666,0.783410138248848,0.9300911854103343,0.8759894459102903,0.9660107334525939,0.06365575289676698,0.9292149292149292,0.904904562077905,0.9282805555007142,2e-05,32,0.8856397030399089,0.9068482575946063,7,0.9942353067353067,0.8734370135430309,0.994174731617867,123.28940057754517
8,7,0.9498680738786279,0.8921023359288098,0.8297297297297297,0.772020725388601,0.7428571428571429,0.9295199182839632,0.7292225201072386,0.9586330935251799,0.05499560312508579,0.9365079365079365,0.9153874856029238,0.9358549674975425,2e-05,48,0.8504941924624116,0.8796718829956824,7,0.9953882453882454,0.7875208466456218,0.9952547520414186,142.16702151298523
8,7,0.9641025641025641,0.9279069767441861,0.884020618556701,0.8256410256410256,0.8071748878923767,0.9308176100628931,0.8806366047745358,0.9551971326164874,0.07013692054793139,0.9326469326469327,0.9104515389998491,0.932575955406634,3e-05,32,0.8969371775488463,0.9133460890021023,7,0.9947849635349635,0.8888516725838287,0.9947467738638225,123.3956310749054
8,7,0.9766233766233766,0.9336437718277066,0.857516339869281,0.8226221079691517,0.8,0.9351184346035015,0.8720626631853786,0.9540954095409541,0.06301085586605318,0.9365079365079365,0.9171504349846653,0.936315234083859,3e-05,48,0.8939602629524188,0.910433479274035,7,0.9963981838981839,0.8787150397297764,0.9963836220811775,141.48260641098022
8,7,0.9562982005141388,0.9197247706422018,0.8251928020565553,0.7821522309711286,0.8050847457627118,0.8955223880597015,0.7989130434782609,0.924953095684803,0.1306437149905615,0.9287859287859288,0.9076710771450598,0.927675154590408,5e-05,32,0.8634801596461876,0.879342176368123,7,0.9930555555555556,0.8296762053089989,0.9929723541004548,120.56733322143555
8,7,0.9578947368421052,0.8571428571428571,0.8721227621483376,0.5771812080536913,0.8235294117647058,0.9004926108374385,0.7760416666666666,0.929444967074318,0.10781771051787921,0.9270699270699271,0.899397006950694,0.9268818565985003,5e-05,48,0.836731277566265,0.8616788407678351,7,0.9950843700843701,0.8211069797350709,0.9949454904527283,139.63032865524292
16,7,0.927461139896373,0.8033648790746583,0.7664335664335664,0.47706422018348627,0.09917355371900827,0.8814589665653495,0.49645390070921985,0.9294225481209899,0.13743758098180614,0.9377949377949378,0.916330366186812,0.9374645794091458,1e-05,32,0.6726040968378315,0.7690184263648043,7,0.9890336765336766,0.6048812235825277,0.9876278856900936,81.13196277618408
16,7,0.8477157360406091,0.6702800361336947,0.7365356622998545,0.0,0.18543046357615894,0.8420038535645472,0.34854771784232363,0.9237510955302366,0.14565012132498756,0.9395109395109396,0.9188821020468426,0.938601346447764,1e-05,48,0.569283070623428,0.6834187892994192,7,0.9907764907764908,0.5099386117325239,0.9894079404168918,112.5989294052124
16,7,0.9399477806788512,0.8983240223463688,0.8235294117647058,0.6765432098765433,0.6417112299465241,0.9121756487025948,0.7049180327868853,0.9517743403093721,0.08303097534869144,0.9446589446589446,0.9256861961851758,0.9442983566501458,2e-05,32,0.8186154595514807,0.8606400432603605,7,0.9921975546975547,0.7251101577741845,0.991892171125527,81.23668313026428
16,7,0.9246753246753247,0.8556149732620321,0.7751724137931034,0.6519607843137255,0.6129032258064516,0.926829268292683,0.6075949367088608,0.950316169828365,0.07221466879179674,0.93993993993994,0.91902902309701,0.9396395146775605,2e-05,48,0.7881333870850682,0.8365212700369103,7,0.9942889317889317,0.6890719085311753,0.9938927821890587,97.82448697090149
16,7,0.9378238341968912,0.9003359462486002,0.8483290488431876,0.7619047619047619,0.776255707762557,0.9230769230769231,0.8527131782945736,0.9576957695769577,0.07770291131212195,0.9433719433719434,0.9257846940682685,0.9431327951636833,3e-05,32,0.8697668962380566,0.8918153444475354,7,0.9936320248820248,0.8187059991851932,0.9935624687032502,81.2214503288269
16,7,0.9427083333333334,0.9155251141552512,0.8389610389610389,0.7475247524752475,0.8034934497816594,0.9294354838709677,0.8142493638676844,0.9539295392953929,0.0765926056193994,0.939081939081939,0.9197216308353156,0.938770393868372,3e-05,48,0.868228384467572,0.8908007765460837,7,0.9956742456742457,0.8113698714064376,0.9956329838522527,97.83183073997498
16,7,0.9714285714285714,0.9247572815533981,0.8719346049046321,0.7704485488126649,0.71875,0.9164086687306502,0.8248587570621468,0.9462169553327257,0.08018535137065311,0.9360789360789361,0.9163065508550803,0.9350846197773481,5e-05,32,0.8681004234780987,0.8944470915829067,7,0.9937526812526812,0.8325936780134328,0.9934690173812002,81.19239473342896
16,7,0.9712793733681462,0.8973214285714286,0.8582677165354331,0.7415730337078652,0.6974358974358974,0.9245087900723888,0.8413098236775819,0.9524680073126143,0.09615234081536086,0.9279279279279279,0.9053768729526261,0.9269744884997287,5e-05,48,0.8605205088351695,0.8886394806914827,7,0.9956295581295581,0.8190286213235678,0.9954920023853967,97.72622418403625
32,7,0.7136363636363636,0.7441860465116279,0.7253731343283583,0.12380952380952381,0.0,0.8207171314741036,0.22406639004149378,0.9007901668129938,0.2559246150333257,0.918060918060918,0.8897064597897755,0.9160141177527691,1e-05,32,0.5315723445768081,0.6667396965324216,7,0.9845425782925783,0.4433008549699946,0.9812634390792183,57.92400813102722
32,7,0.5922077922077922,0.6549835706462213,0.6506410256410257,0.0,0.03333333333333333,0.7847826086956522,0.0,0.8356054530874097,0.2568652614773739,0.9227799227799228,0.8956533306727524,0.9200709708300907,1e-05,48,0.44394422295142927,0.5849753780456165,7,0.987022737022737,0.3729632708064061,0.9842118460584814,75.04811811447144
32,7,0.9326424870466321,0.7598086124401914,0.7933884297520661,0.5488958990536278,0.6270270270270271,0.8946840521564694,0.5426829268292683,0.9329608938547486,0.11544709504094153,0.9377949377949378,0.9176280241748817,0.9373244880936669,2e-05,32,0.7540112910200039,0.8019876219148674,7,0.9903072715572716,0.6437971793081474,0.9895522033588169,57.888160705566406
32,7,0.9067357512953368,0.7910295616717635,0.7643142476697736,0.6166219839142091,0.4731182795698925,0.9053916581892166,0.528169014084507,0.9430147058823529,0.10158578199999672,0.9283569283569284,0.9031442968095538,0.9267426319321751,2e-05,48,0.7410494002846315,0.8020845549323538,7,0.9932521807521808,0.6423040444069813,0.9927758111523646,75.05065846443176
32,7,0.9633507853403142,0.9255441008018328,0.8464619492656876,0.7386934673366834,0.7383177570093458,0.9400826446280992,0.8166666666666667,0.9561243144424132,0.08476307077909864,0.9356499356499357,0.9130898451812788,0.934322070504023,3e-05,32,0.8656552106863804,0.8943120770935316,7,0.9936722436722437,0.8046146406664417,0.9934756850389398,57.692649364471436
32,7,0.9340369393139841,0.8548571428571429,0.7972027972027972,0.5558912386706949,0.5313653136531366,0.9136316337148803,0.5189873417721519,0.940754039497307,0.07077469069155909,0.9420849420849421,0.9260644043661533,0.9424745539110205,3e-05,48,0.7558408058352618,0.8183392712613107,7,0.9933773058773059,0.648148130330854,0.99291201326505,74.4087176322937
32,7,0.9635416666666666,0.930715935334873,0.8676470588235294,0.7912087912087912,0.7383177570093458,0.9159067882472138,0.8548387096774194,0.9435989256938228,0.08640771546578478,0.9360789360789361,0.9147496115935871,0.9350102529873064,5e-05,32,0.8757219540827077,0.898260440903165,7,0.9937929000429,0.8258583945068337,0.9936786991046875,57.37503123283386
32,7,0.953125,0.9112426035502958,0.817174515235457,0.7268170426065163,0.43870967741935485,0.9146341463414634,0.8131868131868132,0.9562043795620438,0.08126245723438583,0.9330759330759331,0.9062935723310305,0.9318230997603325,5e-05,48,0.8163867722377431,0.8673360980377665,7,0.9952005577005577,0.7963280271627717,0.9949232832700425,74.38344955444336
64,7,0.5514018691588785,0.6136363636363636,0.659375,0.0,0.0,0.7574304889741131,0.0,0.8601973684210527,0.3967228819217001,0.9043329043329044,0.8562976023054458,0.8960620212727672,1e-05,32,0.43025513627380096,0.5750264696392695,7,0.9816870441870442,0.3989761407735471,0.9782771130311805,47.1058623790741
64,7,0.0,0.5350172215843858,0.08056872037914692,0.0,0.0,0.48520710059171596,0.0,0.8809523809523809,0.4299077551279749,0.9146289146289146,0.8799677789657357,0.9115603988896399,1e-05,48,0.24771817793845372,0.38231279658897593,7,0.9833494208494209,0.2028303994559732,0.9771228408260804,63.77140522003174
64,7,0.8675324675324675,0.666069829901522,0.7419354838709677,0.0,0.11475409836065574,0.8611670020120724,0.2311111111111111,0.9171171171171171,0.18813238692070758,0.9343629343629344,0.9076996633118076,0.9329082055417365,2e-05,32,0.5499608887382392,0.6751184848561822,7,0.9866205491205491,0.5011159241068964,0.9841731489942295,46.55739498138428
64,7,0.6052009456264775,0.7193932827735645,0.6905132192846034,0.0,0.0,0.7962264150943397,0.01020408163265306,0.9051724137931034,0.16946739925160295,0.9365079365079365,0.9157749593214055,0.935279973136552,2e-05,48,0.4658387947755927,0.6194377796166454,7,0.989078364078364,0.4220434390847996,0.9866795600150426,63.526379346847534
64,7,0.9234828496042217,0.8218331616889805,0.775,0.5663716814159292,0.5443786982248521,0.9118236472945892,0.46285714285714286,0.928377153218495,0.1281263084106502,0.9365079365079365,0.9182967353256483,0.9365673015389249,3e-05,32,0.7417655417880263,0.8025888544405996,7,0.9899587087087087,0.6445965487048205,0.98918201144441,46.53747916221619
64,7,0.8923076923076924,0.7355212355212355,0.7661971830985915,0.09954751131221719,0.40609137055837563,0.8805528134254689,0.429042904290429,0.9080068143100511,0.11885678364584844,0.9420849420849421,0.9211695768274926,0.9412470130995777,3e-05,48,0.6396584406030077,0.7297691302385091,7,0.991571929071929,0.5493130302355795,0.9905746146712785,63.54395365715027
64,7,0.9473684210526315,0.903010033444816,0.825065274151436,0.6910994764397905,0.6938775510204082,0.9406952965235174,0.8406593406593407,0.9565217391304348,0.07871619789373308,0.9373659373659373,0.9159673230229771,0.9364676732763951,5e-05,32,0.8497871415527969,0.8823739839911444,7,0.993082368082368,0.7791841929926764,0.9928462773398152,46.54160451889038
64,7,0.9138381201044387,0.8593073593073594,0.8049113233287858,0.5649717514124294,0.5317919075144508,0.8806262230919765,0.4218181818181818,0.9554140127388535,0.08548134543179046,0.9279279279279279,0.9067609097761161,0.9270515965453916,5e-05,48,0.7415848599145595,0.8090421944318471,7,0.9937258687258688,0.6598317189997791,0.9931367202622359,63.52524995803833
